EMPRESA,LINHA,NOME,ROTA
TRANSPORTES CIDADE DO NATAL,588,CIRCULAR DO CAMPUS,AV. PASSEIO DOS GIRASSOIS(ANEL VIÁRIO DO CAMPUS)
TRANSPORTES CIDADE DO NATAL,588,CIRCULAR DO CAMPUS,ROTATÓRIA DO NEI
TRANSPORTES CIDADE DO NATAL,588,CIRCULAR DO CAMPUS,AV. PASSEIO DOS GIRASSOIS(ANEL VIÁRIO DO CAMPUS)
TRANSPORTES CIDADE DO NATAL,588,CIRCULAR DO CAMPUS,AV SANTOS DUMONT
TRANSPORTES CIDADE DO NATAL,588,CIRCULAR DO CAMPUS,AV. PASSEIOS DAS ROSAS
TRANSPORTES CIDADE DO NATAL,588,CIRCULAR DO CAMPUS,AV. PASSEIOS DAS ROSAS
TRANSPORTES CIDADE DO NATAL,588,CIRCULAR DO CAMPUS,RUA DOS GERÂNIOS
TRANSPORTES CIDADE DO NATAL,588,CIRCULAR DO CAMPUS,MARGINAL DA BR 101
TRANSPORTES CIDADE DO NATAL,588,CIRCULAR DO CAMPUS,RUA CORONEL JOÃO MEDEIROS
TRANSPORTES CIDADE DO NATAL,588,CIRCULAR DO CAMPUS,ROTATÓRIA DO NEI
TRANSPORTES CIDADE DO NATAL,588,CIRCULAR DO CAMPUS,REITORIA
TRANSPORTES CIDADE DO NATAL,588,CIRCULAR DO CAMPUS,RESTAURANTE UNIVERSITÁRIO (Terminal)
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA DR. NELSON BENÍCIO MATA (Terminal)
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA NEZINHO ALVES
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA SÃO PATRICK
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA MONTE REI
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA AGRESTINA
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA. ENG.JOÃO HÉLIO
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA MIRAMANGUE
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA MONTE REI
